MapperName	AlignmentNumber	MeanReadLength	SdReadLength	MeanMappedReadLength	SdMapReadLength	MeanMappedRefLength	SdMapRefLength	MeanReadtoReadRate	SdReadtoReadRate	MeanReadtoRefRate	SdReadtoRefRate	MeanAlignmentMatchReadRate	MeanAlignmentMatchRefRate	MeanInsReadRate	MeanDelReadRate
r9_gmap_NoUnmap_SeenOnce.sam	33695	1504.22	877.63	1304.74	867.921	1319.87	878.353	0.851558	0.170879	0.995058	0.167525	0.961773	0.949646	0.0381969	0.0503243
r7_gmap_NoUnmap_SeenOnce.sam	79421	1800.2	939.398	1425.33	921.234	1426.57	917.532	0.782505	0.221042	1.00454	0.197555	0.951136	0.94677	0.0488518	0.0532172
r7_starlong_UniquelyMapped_SeenOnce.sam	151	1713.57	933.839	1575.68	928.579	1601.4	948.001	0.899845	0.0806272	0.978116	0.0806126	0.982206	0.967012	0.0112146	0.0264092
r9_starlong_UniquelyMapped_SeenOnce.sam	7916	1538.1	811.188	1429.42	800.209	1454.36	812.269	0.915949	0.0456853	0.9825	0.0171716	0.991006	0.973738	0.00886744	0.0261359
r9_blasr_SeenOnce.sam	28880	1560.02	889.484	1101.53	758.573	1131.47	780.541	0.694428	0.19199	0.975692	0.0404143	0.96112	0.93708	0.0388452	0.0628852
r7_blasr_SeenOnce.sam	71563	1825.9	949.422	1235.9	828.886	1259.37	838.366	0.656707	0.189418	0.978921	0.0434777	0.944317	0.92374	0.0556688	0.0762457
r9_BBMAP_NoUnmapped_Unique.sam	28235	1572.24	861.341	486.875	63.1338	930.945	1960.25	0.388245	0.189684	0.87314	0.258986	0.946647	0.824187	0.0533175	0.175778
r7_BBMAP_NoUnmapped_Unique.sam	37473	2112.48	981.93	481.234	90.1252	827.929	1764.14	0.267247	0.120792	0.888701	0.222527	0.960227	0.851979	0.039746	0.147994
r9_graphmap_NoUnmap_SeenOnce.sam	28849	1551.39	881.108	1129.69	755.863	1160.6	776.552	0.720362	0.184892	0.974746	0.0446172	0.960221	0.935118	0.0397444	0.0648474
r7_graphmap_NoUnmap_SeenOnce.sam	72832	1818.46	944.21	1319.45	825.323	1349.55	835.722	0.71205	0.163669	0.975551	0.0480932	0.944063	0.920188	0.0559232	0.0797979
r7_bwa_NoUnmap_SeenOnce.sam	99483	1696.77	911.861	1259.12	761.548	1338.06	813.374	0.749922	0.200964	0.944085	0.0551158	0.960343	0.905985	0.0396468	0.0940051
r9_bwa_NoUnmap_SeenOnce.sam	40036	1438.87	831.827	1133.61	689.935	1205.99	746.795	0.799932	0.188433	0.946106	0.0535372	0.971247	0.918493	0.0287283	0.0814818
