MapperName	AlignmentNumber	MeanReadLength	SdReadLength	MeanMappedReadLength	SdMapReadLength	MeanMappedRefLength	SdMapRefLength	MeanReadtoReadRate	SdReadtoReadRate	MeanReadtoRefRate	SdReadtoRefRate	MeanAlignmentMatchReadRate	MeanAlignmentMatchRefRate	MeanInsReadRate	MeanDelReadRate
BLASR_1-2k.sam	114101	1511.28	848.786	963.191	353.86	940.699	351.797	0.682782	0.201884	1.033	0.084158	0.961021	0.98734	0.0389702	0.0126512
BLASR_2-3k.sam	160037	2271.62	1286.33	1350.64	499.795	1311.56	497.747	0.654992	0.219597	1.04063	0.0858326	0.950774	0.983689	0.0492193	0.0163047
BLASR_3-7k.sam	148245	3759.51	1828.61	2452.51	1067.68	2359.64	1057.43	0.689907	0.227697	1.05413	0.0887467	0.933122	0.977697	0.0668709	0.0222962
GRAPHMAP_2-3k_SeenOnce_NoUnmap.sam	153722	2186.96	1006.11	1460.68	459.931	1420.17	444.301	0.706073	0.175133	1.03245	0.082063	0.951487	0.977167	0.0485065	0.0228265
GRAPHMAP_1-2k_SeenOnce_NoUnmap.sam	111620	1467.67	649.246	1030.66	334.605	1005.14	319.632	0.726694	0.156279	1.02684	0.0768692	0.960879	0.981963	0.0391122	0.018028
GRAPHMAP_3-7k_SeenOnce_NoUnmap.sam	141517	3678.37	1613.32	2657.81	1021.57	2552.26	992.535	0.746916	0.1834	1.05028	0.0937392	0.930536	0.970914	0.0694565	0.0290786
2-3k_star_SeenOnce_NoUmap.sam	89468	1992.77	449.711	1912.77	435.12	1917.14	435.832	0.958797	0.0260924	0.997699	0.00782612	0.997937	0.995637	0.00205204	0.00435217
1-2k_star_SeenOnce_NoMultiple.sam	76996	1348.21	320.418	1268.1	312.937	1270.66	313.498	0.938153	0.0264662	0.997962	0.00754755	0.998781	0.996747	0.001206	0.00323999
3-7k_star_SeenOnce_NoUmap.sam	53370	3728.73	738.243	3634.06	728.583	3645.55	731.485	0.973966	0.0253615	0.9969	0.00813492	0.996864	0.993778	0.00311693	0.00620339
GMAP_1-2k.sam	100575	1426.38	569.209	1199.23	380.865	1187.81	382.037	0.870058	0.189971	1.01338	0.0822892	0.981336	0.991707	0.018654	0.00828349
GMAP_2-3k.sam	144866	2138.97	881.69	1719.78	587.102	1691.71	593.514	0.846758	0.233718	1.02388	0.110034	0.96993	0.988653	0.030063	0.0113401
GMAP_3-7k.sam	138308	3682.67	1500.94	2952.06	1219.41	2877.98	1234.87	0.833526	0.252836	1.03958	0.155026	0.952455	0.983863	0.0475378	0.0161296
BBMap_2-3k.sam	125095	2171.15	930.27	484.796	72.5153	973.462	1702.44	0.263287	0.149529	0.824896	0.305612	0.959332	0.787169	0.0406596	0.212823
BBMAP_1-2k.sam	91259	1420.48	555.813	487.002	66.7092	835.374	1388.36	0.38182	0.141559	0.85138	0.270338	0.958833	0.812431	0.0411555	0.187558
BBMap_3-7k.sam	113144	3898.8	1529.63	488.682	64.5091	1074.5	2221.94	0.147075	0.0945431	0.85343	0.297142	0.955456	0.812097	0.0445348	0.187895
BWAmem_1-2k.sam	115031	1537.49	1108.2	1072.63	408.141	1097.19	425.282	0.760202	0.228386	0.98676	0.0897959	0.965232	0.948082	0.0347596	0.0519094
BWAmem_2-3k.sam	163826	2304.83	1539.56	1493.54	575.977	1519.84	603.511	0.730994	0.251803	0.994637	0.0892144	0.955855	0.946253	0.0441387	0.0537405
BWAmem_3-7k.sam	154006	3768.35	1958.06	2349.62	1128.3	2410.42	1203.15	0.679154	0.263219	0.992802	0.0892835	0.942442	0.931276	0.0575516	0.0687175
