MapperName	AlignmentNumber	MeanReadLength	SdReadLength	MeanMappedReadLength	SdMapReadLength	MeanMappedRefLength	SdMapRefLength	MeanReadtoReadRate	SdReadtoReadRate	MeanReadtoRefRate	SdReadtoRefRate	MeanAlignmentMatchReadRate	MeanAlignmentMatchRefRate	MeanInsReadRate	MeanDelReadRate
bbmap_clean_1-2k.sam	86920	1316.03	296.484	497.047	32.1105	1096.02	1581.06	0.395922	0.0918311	0.710364	0.279003	0.997068	0.708056	0.00292077	0.291932
bbmap_clean_2-3k.sam	98373	2063.58	364.326	497.781	27.442	1501.27	2207.95	0.246414	0.038533	0.617552	0.326778	0.994948	0.613821	0.0050415	0.386169
bbmap_clean_3-7k.sam	75513	3854.37	768.501	498.35	23.6391	1894.78	3317.11	0.133159	0.022012	0.656924	0.353835	0.991009	0.65019	0.00897766	0.349797
gmap_clean_2-3k.sam	100127	2067.23	348.888	2003.99	277.4	2000.74	279.014	0.978386	0.106276	1.00227	0.0240367	0.992283	0.994058	0.0077075	0.00593166
gmap_clean_1-2k.sam	87919	1319.57	297.392	1294.96	270.146	1294.38	270.304	0.987101	0.0843247	1.0009	0.0221751	0.995104	0.995629	0.0048845	0.0043596
gmap_clean_3-7k.sam	76539	3855.43	755.794	3707	676.434	3698.64	678.295	0.971223	0.122572	1.00302	0.0259329	0.988129	0.990563	0.0118581	0.009424
graphmap_clean_1-2k.sam	88183	1323.54	303.42	1045.01	287.513	1042.24	284.14	0.789534	0.137024	1.00278	0.0389627	0.990671	0.992355	0.00931716	0.00763329
graphmap_clean_2-3k.sam	99462	2068.47	359.3	1558.48	332.397	1553.24	325.434	0.758029	0.13972	1.00344	0.0408562	0.988215	0.990421	0.0117745	0.00956858
graphmap_clean_3-7k.sam	74523	3845.46	739.011	2978.32	756.898	2957.54	742.915	0.776422	0.149969	1.00761	0.0550273	0.980316	0.98567	0.0196709	0.0143168
bwamem_clean_1-2k.sam	89188	1325.89	322.613	1120.7	355.059	1175.63	376.14	0.847656	0.198043	0.957095	0.0590296	0.99277	0.949436	0.00721846	0.0505531
bwamem_clean_2-3k.sam	100713	2075.8	405.733	1686.38	444.507	1765.1	463.459	0.821735	0.20451	0.956843	0.0551706	0.990731	0.947298	0.00925864	0.052692
bwamem_clean_3-7k.sam	76783	3863.56	790.39	2801.43	997.533	2974.5	1070.66	0.732176	0.238596	0.945602	0.0526874	0.986847	0.932508	0.0131401	0.0674795
blasr_clean_1-2k.sam	88463	1326.01	317.774	1032.62	290.735	1032.32	290.85	0.781127	0.14703	1.00154	0.0428515	0.99195	0.992416	0.00803895	0.0075731
blasr_clean_2-3k.sam	100023	2074.24	393.584	1539.89	339.289	1535.76	338.53	0.749763	0.149124	1.00375	0.0423348	0.988971	0.99147	0.011019	0.00851995
blasr_clean_3-7k.sam	75646	3856.45	783.424	2930.92	776.157	2914.5	770.808	0.764652	0.162883	1.00691	0.049064	0.982414	0.98751	0.0175728	0.0124766
